Age,Gender,Country,family_history,self_employed,no_employees,tech_company,Organizational_Care_1,Organizational_Care_2,Organizational_Access,Organizational_Support,Organizational_Protection,Organizational_Leave,mentalhealthconsequence,coworkers,supervisors,mentalimportance,mh_current,mh_diagnosed,mh_past,mh_treated,work_interfere_impact,work_interfere_treated,work_interfere_untreated,Organizational_Care_1_clean,Organizational_Access_clean,Organizational_Support_clean,Organizational_Protection_clean,Organizational_Leave_clean
54.0,Female,United States of America,Yes,1,Unknown,Unknown,,,,,,,"Yes, I observed",Unknown,Yes,Unknown,Yes,Yes,Yes,1,Yes,Sometimes,Often,Unknown,Unknown,Unknown,Unknown,Unknown
61.0,Male,United Kingdom,I don't know,0,500-1000,1.0,1.0,1.0,1.0,1.0,2.0,3.0,No,Maybe,Yes,6.0,Yes,Yes,No,1,Unknown,Rarely,Rarely,Yes,Yes,Yes,I don't know,Neither easy nor difficult
26.0,Male,India,No,0,More than 1000,1.0,0.0,0.0,0.0,0.0,2.0,,No,No,Maybe,4.0,No,No response,No,0,Unknown,Not applicable to me,Not applicable to me,No,No,No,I don't know,I don't know
44.0,Female,United States of America,Yes,0,More than 1000,0.0,1.0,1.0,1.0,1.0,2.0,3.0,"Yes, I experienced",Yes,No,2.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,Yes,Yes,Yes,I don't know,Neither easy nor difficult
26.0,Male,Portugal,I don't know,0,6-25,1.0,0.0,0.0,0.0,0.0,2.0,,Maybe/Not sure,No,Yes,0.0,Yes,Yes,Possibly,1,Unknown,Sometimes,Often,No,No,No,I don't know,I don't know
26.0,Female,Portugal,Yes,0,26-100,1.0,1.0,0.0,0.0,0.0,2.0,2.0,"Yes, I experienced",Maybe,Yes,7.0,Yes,Yes,Yes,1,Unknown,Often,Often,Yes,No,No,I don't know,Somewhat easy
35.0,Female,United States of America,I don't know,0,6-25,1.0,2.0,2.0,0.0,0.0,1.0,3.0,No,Maybe,Yes,5.0,No,No response,Possibly,1,Unknown,Sometimes,Sometimes,I don't know,No,No,Yes,Neither easy nor difficult
45.0,Male,United States of America,No,0,26-100,1.0,1.0,0.0,1.0,0.0,2.0,1.0,Maybe/Not sure,Maybe,Maybe,2.0,No,No response,No,0,Unknown,Not applicable to me,Not applicable to me,Yes,Yes,No,I don't know,Very easy
23.0,Male,United States of America,I don't know,0,26-100,1.0,2.0,0.0,0.0,0.0,2.0,2.0,No,Yes,Yes,2.0,No,No response,Possibly,0,Unknown,Not applicable to me,Not applicable to me,I don't know,No,No,I don't know,Somewhat easy
44.0,Male,United States of America,No,0,More than 1000,0.0,1.0,2.0,1.0,2.0,2.0,2.0,No,Maybe,Yes,5.0,Don't Know,No response,Don't Know,0,Unknown,Not applicable to me,Not applicable to me,Yes,Yes,I don't know,I don't know,Somewhat easy
38.0,Male,United States of America,I don't know,0,More than 1000,0.0,1.0,1.0,0.0,1.0,1.0,3.0,"Yes, I observed",Maybe,Yes,5.0,Possibly,No response,Yes,1,Unknown,Rarely,Sometimes,Yes,No,Yes,Yes,Neither easy nor difficult
46.0,Male,United States of America,Yes,0,500-1000,0.0,1.0,1.0,1.0,1.0,1.0,2.0,Maybe/Not sure,Yes,Yes,8.0,No,No response,Yes,1,Unknown,Rarely,Often,Yes,Yes,Yes,Yes,Somewhat easy
27.0,Other,United States of America,I don't know,0,500-1000,0.0,1.0,2.0,0.0,1.0,2.0,4.0,Maybe/Not sure,No,Maybe,5.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,Yes,No,Yes,I don't know,Somewhat difficult
39.0,Female,United States of America,Yes,0,100-500,0.0,1.0,1.0,1.0,2.0,1.0,5.0,"Yes, I observed",Maybe,Maybe,2.0,Yes,Yes,Yes,1,Unknown,Rarely,Often,Yes,Yes,I don't know,Yes,Difficult
33.0,Female,United States of America,Yes,0,26-100,1.0,2.0,0.0,0.0,0.0,2.0,,"Yes, I experienced",No,No,2.0,Possibly,No response,Yes,1,Unknown,Sometimes,Often,I don't know,No,No,I don't know,I don't know
38.0,Female,United States of America,Yes,1,Unknown,Unknown,,,,,,,No,Unknown,Yes,Unknown,Yes,Yes,Yes,1,Yes,Sometimes,Often,Unknown,Unknown,Unknown,Unknown,Unknown
35.0,Male,United Kingdom,No,0,26-100,0.0,,0.0,,0.0,2.0,5.0,Maybe/Not sure,No,No,4.0,No,No response,No,0,Unknown,Not applicable to me,Not applicable to me,Not eligible for coverage / NA,Unknown,No,I don't know,Difficult
32.0,Male,Czech Republic,No,0,More than 1000,1.0,0.0,0.0,0.0,0.0,2.0,3.0,"Yes, I experienced",Maybe,No,3.0,Yes,Yes,Possibly,1,Unknown,Sometimes,Rarely,No,No,No,I don't know,Neither easy nor difficult
26.0,Female,United States of America,I don't know,0,More than 1000,1.0,1.0,0.0,1.0,2.0,2.0,2.0,"Yes, I observed",No,No,5.0,Yes,Yes,Possibly,0,Unknown,Rarely,Often,Yes,Yes,I don't know,I don't know,Somewhat easy
50.0,Male,United States of America,Yes,0,100-500,1.0,1.0,2.0,1.0,0.0,2.0,4.0,"Yes, I observed",Maybe,Maybe,3.0,Yes,Yes,Yes,1,Unknown,Rarely,Often,Yes,Yes,No,I don't know,Somewhat difficult
31.0,Male,United States of America,Yes,0,100-500,1.0,2.0,2.0,1.0,2.0,2.0,2.0,No,Yes,Yes,8.0,Yes,Yes,Yes,1,Unknown,Rarely,Not applicable to me,I don't know,Yes,I don't know,I don't know,Somewhat easy
46.0,Male,Romania,Yes,0,More than 1000,1.0,2.0,2.0,0.0,1.0,2.0,4.0,No,Maybe,Maybe,3.0,Don't Know,No response,No,0,Unknown,Not applicable to me,Not applicable to me,I don't know,No,Yes,I don't know,Somewhat difficult
30.0,Male,United States of America,Yes,0,26-100,1.0,1.0,0.0,0.0,0.0,1.0,2.0,No,Maybe,No,4.0,Yes,Yes,Yes,1,Unknown,Rarely,Often,Yes,No,No,Yes,Somewhat easy
30.0,Male,United States of America,I don't know,0,More than 1000,1.0,1.0,2.0,0.0,0.0,2.0,4.0,No,Maybe,Maybe,5.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,Yes,No,No,I don't know,Somewhat difficult
34.0,Male,Germany,No,0,100-500,1.0,0.0,0.0,0.0,0.0,2.0,3.0,"Yes, I observed",Maybe,Yes,4.0,Yes,Yes,Yes,1,Unknown,Rarely,Often,No,No,No,I don't know,Neither easy nor difficult
42.0,Male,United Kingdom,No,0,More than 1000,0.0,1.0,1.0,1.0,1.0,1.0,5.0,Maybe/Not sure,No,No,4.0,No,No response,No,0,Unknown,Not applicable to me,Not applicable to me,Yes,Yes,Yes,Yes,Difficult
24.0,Female,United States of America,Yes,0,More than 1000,1.0,1.0,1.0,1.0,1.0,0.0,4.0,"Yes, I experienced",Maybe,Maybe,6.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,Yes,Yes,Yes,No,Somewhat difficult
30.0,Male,United States of America,Yes,1,Unknown,Unknown,,,,,,,"Yes, I experienced",Unknown,Yes,Unknown,Yes,Yes,Yes,1,Yes,Sometimes,Often,Unknown,Unknown,Unknown,Unknown,Unknown
23.0,Male,Canada,I don't know,0,26-100,1.0,1.0,2.0,1.0,1.0,2.0,2.0,No,Yes,Maybe,7.0,Don't Know,No response,Don't Know,0,Unknown,Not applicable to me,Not applicable to me,Yes,Yes,Yes,I don't know,Somewhat easy
31.0,Female,United States of America,Yes,0,100-500,1.0,1.0,0.0,1.0,0.0,2.0,2.0,No,No,No,6.0,Yes,Yes,Yes,1,Unknown,Rarely,Often,Yes,Yes,No,I don't know,Somewhat easy
31.0,Male,Finland,I don't know,0,26-100,1.0,0.0,0.0,0.0,0.0,2.0,,Maybe/Not sure,Maybe,No,6.0,Possibly,No response,No,0,Unknown,Rarely,Sometimes,No,No,No,I don't know,I don't know
27.0,Female,United States of America,Yes,0,100-500,1.0,1.0,2.0,1.0,0.0,2.0,2.0,"Yes, I experienced",Yes,Maybe,4.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,Yes,Yes,No,I don't know,Somewhat easy
26.0,Male,Pakistan,No,1,Unknown,Unknown,,,,,,,No,Unknown,Yes,Unknown,No,No response,Possibly,0,Unsure,Not applicable to me,Not applicable to me,Unknown,Unknown,Unknown,Unknown,Unknown
52.0,Female,United States of America,Yes,0,500-1000,0.0,1.0,1.0,1.0,0.0,2.0,4.0,"Yes, I observed",No,Maybe,1.0,No,No response,No,0,Unknown,Not applicable to me,Not applicable to me,Yes,Yes,No,I don't know,Somewhat difficult
28.0,Male,Belgium,No,1,Unknown,Unknown,,,,,,,Maybe/Not sure,Unknown,Yes,Unknown,Don't Know,No response,No,0,Yes,Not applicable to me,Not applicable to me,Unknown,Unknown,Unknown,Unknown,Unknown
37.0,Male,United States of America,I don't know,0,1-5,1.0,0.0,2.0,0.0,0.0,2.0,,"Yes, I observed",No,No,5.0,Possibly,No response,Don't Know,0,Unknown,Rarely,Often,No,No,No,I don't know,I don't know
37.0,Male,Canada,No,0,500-1000,0.0,0.0,1.0,,1.0,0.0,2.0,No,Maybe,Maybe,7.0,No,No response,Possibly,0,Unknown,Not applicable to me,Not applicable to me,No,Unknown,Yes,No,Somewhat easy
38.0,Male,United States of America,Yes,0,More than 1000,0.0,1.0,0.0,1.0,0.0,1.0,1.0,No,Yes,Yes,4.0,Yes,Yes,Yes,1,Unknown,Rarely,Often,Yes,Yes,No,Yes,Very easy
57.0,Female,United States of America,Yes,1,Unknown,Unknown,,,,,,,No,Unknown,Yes,Unknown,Yes,Yes,Yes,1,Yes,Sometimes,Often,Unknown,Unknown,Unknown,Unknown,Unknown
34.0,Male,United States of America,Yes,0,More than 1000,1.0,1.0,2.0,1.0,2.0,2.0,2.0,Maybe/Not sure,Maybe,Yes,5.0,Yes,Yes,No,1,Unknown,Rarely,Sometimes,Yes,Yes,I don't know,I don't know,Somewhat easy
38.0,Female,Germany,Yes,0,More than 1000,1.0,1.0,1.0,1.0,0.0,2.0,5.0,"Yes, I observed",No,No,5.0,No,No response,Possibly,1,Unknown,Rarely,Sometimes,Yes,Yes,No,I don't know,Difficult
30.0,Male,United States of America,I don't know,0,26-100,1.0,2.0,2.0,0.0,0.0,1.0,3.0,"Yes, I observed",Maybe,Maybe,5.0,Possibly,No response,No,1,Unknown,Rarely,Sometimes,I don't know,No,No,Yes,Neither easy nor difficult
52.0,Male,United States of America,No,0,More than 1000,0.0,1.0,2.0,1.0,1.0,1.0,2.0,No,No,No,7.0,Possibly,No response,Don't Know,0,Unknown,Rarely,Rarely,Yes,Yes,Yes,Yes,Somewhat easy
31.0,Female,United States of America,No,1,Unknown,Unknown,,,,,,,No,Unknown,Yes,Unknown,Yes,Yes,Yes,1,Yes,Sometimes,Often,Unknown,Unknown,Unknown,Unknown,Unknown
29.0,Male,Germany,I don't know,1,Unknown,Unknown,,,,,,,"Yes, I observed",Unknown,Yes,Unknown,No,No response,Possibly,0,Yes,Not applicable to me,Not applicable to me,Unknown,Unknown,Unknown,Unknown,Unknown
26.0,Female,United Kingdom,Yes,0,6-25,1.0,2.0,0.0,0.0,0.0,2.0,5.0,No,No,No,1.0,Don't Know,No response,No,0,Unknown,Not applicable to me,Not applicable to me,I don't know,No,No,I don't know,Difficult
29.0,Female,United States of America,I don't know,0,26-100,0.0,1.0,0.0,0.0,0.0,1.0,4.0,Maybe/Not sure,No,Yes,5.0,Yes,Yes,Yes,1,Unknown,Often,Sometimes,Yes,No,No,Yes,Somewhat difficult
44.0,Male,United States of America,Yes,0,More than 1000,1.0,1.0,0.0,1.0,0.0,1.0,,"Yes, I experienced",Maybe,Yes,5.0,Yes,Yes,Yes,1,Unknown,Often,Often,Yes,Yes,No,Yes,I don't know
18.0,Male,Canada,I don't know,1,Unknown,Unknown,,,,,,,I've always been self-employed,Unknown,Yes,Unknown,Possibly,No response,Don't Know,0,Unsure,Not applicable to me,Not applicable to me,Unknown,Unknown,Unknown,Unknown,Unknown
42.0,Male,Australia,Yes,0,More than 1000,1.0,,2.0,,1.0,1.0,1.0,"Yes, I observed",Yes,Yes,7.0,Yes,Yes,Yes,1,Unknown,Rarely,Sometimes,Not eligible for coverage / NA,Unknown,Yes,Yes,Very easy
30.0,Male,United States of America,Yes,0,6-25,0.0,1.0,0.0,1.0,0.0,1.0,2.0,Maybe/Not sure,No,No,6.0,Possibly,No response,Possibly,1,Unknown,Sometimes,Often,Yes,Yes,No,Yes,Somewhat easy
29.0,Male,United States of America,I don't know,0,100-500,1.0,1.0,1.0,0.0,1.0,2.0,1.0,No,Yes,Yes,7.0,Yes,Yes,Yes,1,Unknown,Never,Sometimes,Yes,No,Yes,I don't know,Very easy
27.0,Female,United States of America,Yes,0,More than 1000,1.0,1.0,1.0,1.0,1.0,2.0,3.0,No,Maybe,Yes,4.0,Yes,Yes,Possibly,1,Unknown,Sometimes,Often,Yes,Yes,Yes,I don't know,Neither easy nor difficult
39.0,Male,United States of America,Yes,0,More than 1000,1.0,1.0,1.0,1.0,1.0,1.0,2.0,"Yes, I experienced",Maybe,Maybe,7.0,Yes,Yes,Yes,1,Unknown,Rarely,Often,Yes,Yes,Yes,Yes,Somewhat easy
